,text
0,El chiste es gastar para tapar los desfalcos  y desvíos de dinero de los funcionarios de gobierno.
1,No sé la razón pero algo me dice que el aeropuerto se va a salvar.
2,Que tristeza y dilapidación.
3,"Es triste ver como caprichos de un prejidente tiran el dinero de los contribuyentes a la basura, derivado de una encuesta ilegal y además inconstitucional. Y ver como los lacayos aplauden una decisión. Imprudente y llena de odio a los mexicanos. Viva la honestidad bolivariana"
4,"Que tristeza por esta gente, que tristeza por toda la gente que iba trabajar dentro del aeropuerto una vez terminado, pero sobre todo que tristeza por México."
5,"La mejor muestra de lo magnánimo q este sr amlo ha sido con su “pueblo bueno”como les ha protegido,conservado su trabajo para q puedan"
6,"AMLO sólo quería mostrar su poder como presidente pero no deja de ser nuestro empleado, uno inepto y destructor, que coraje."
7,Chupales su pito al pendejo de López Obrador pinche periódico ridículo
8,"#PRONAIM
#AMLORENUNCIA"
9,"Yo he estado en construcción, como trabajador he estado en desacuerdo de ciertas actividades pues se ignora el objetivo final, pero para eso están los diseñadores no? Para visualizar a futuro y que sea funcional, solo se hace, se cumple y no se pregunta, lo demás son suposiciones"
10,"#Video  Algunos trabajadores del aeropuerto cancelado en Texcoco califican al puente que construyen como un “monumento a la necedad”, pues no encuentran el sentido de su existencia http://eluni.mx/hbjyonf pic.twitter.com/jladEmE8HC"
