,text
0,"Pero que realmente trabaje!! Y deje de echar a pelear mexicano vs mexicano, que deje de echarle la culpa a gobiernos anteriores, eso ya lo sabemos y mejor que el la ciudadanía!!! Acciones, resultados, verdad y fuera demagogia!! Eso queremos!"
1,Hacer horas nalga no cuenta como trabajo
2,"Así empieza.
1.- Les quieren quitar las chelas a los borregos.
2.- no d garantías de trabajo y sigue los llamados outsourcing.
3.-  Si trabajan los burócratas, las empresas van a querer que los GODINEZ también trabajen más de la jornada de trabajo.
Cómo se llama la comedia?"
3,"Andar ociconeando lo que hace, no es sinónimo de trabajar bien, el que balconea lo que hace demuestra que no hace nada, ni sabe trabajar y solo es apantalla tarugos"
4,"Con una buena planeación, y personal capaz en los puestos claves, no ocupas trabajar 24/7,"
5,pic.twitter.com/b5flVu1H3N
6,"No jodan! 
En sábado también?"
7,"Falta le hace al país que haya menos días de asueto, no estamos para vagar sino para engrandecer a México!"
8,"#BajoReservaExprés Como prueba de que la burocracia tendrá que trabajar los sábados, hoy el presidente @lopezobrador_ dio el primer paso e inauguró en Minatitlán, Veracruzhttp://eluni.mx/h5xkcbe "
9,Hacer su mañanera show no es trabajar
10,"No conforme con fastidiar toda la semana, sigue su farsa mañanera hasta en Sábado, que fastidio"
11,Oh nooooo! Por favor no ... ...
12,AMLO siempre trabajando es un excelente dirigente de la nación
13,Y luego habra homilias domingueras? 
