,text
0,su unica ley la ley de ser el mas pendejo.
1,"Va a aplicar #LaLeyDeHerodes, literal "
2,"¡Al diablo con sus instituciones!, y lo cumplió.
Se pasa las leyes por el arco del triunfo.
NO hay problema... Nosotros no somos iguales, dice con su voz nasal cargada de odio. 

Cuando los seguidores, imita monos, lo dupliquen... ya veremos. 
Al tiempo."
3,"Como explicarle a alguien una cosa, si esa persona no esta preparada, señores con solo tener buenas intensiones no es suficiente para ser presidente, si solo eso bastara hay muchos Mexicanos que cumplen ese requisito."
4,Como siempre gobernando en la ilegalidad...
5,EL ARTÍCULO 11 MI QUERIDO ANDRÉS MANUEL RT
6,"El presidente aseguró que, aún sin las leyes secundarias, no se afecta ningún principio constitucionalhttp://eluni.mx/qckblvn "
7,La verdad si quiere acabar con la delincuencia quite la protección institucional con la que cuenta la delincuencia los retenes de nada sirven deben tener inteligencia y tecnología basta ya con más de lo mismo
8,"No hay otra, es uno más de lo mismo, pero peor..."
9,Es en serio?
10,Tal vez no pero una vez más se siente como si él estuviera por encima de la ley
